Algorithm,N,ExecutionTimeMs,H2DMs,KernelMs,D2HMs,TotalTimeMs,TransferredBytes,TotalOperations,AchievableMOPS,Correct,Workers,Notes
Sequential,10000,2.982819,0.000000,0.000000,0.000000,2.982819,0,132877,44.547457,YES,1,recursive_merge_sort
Sequential,100000,52.070867,0.000000,0.000000,0.000000,52.070867,0,1660964,31.898144,YES,1,recursive_merge_sort
Sequential,1000000,275.623675,0.000000,0.000000,0.000000,275.623675,0,19931569,72.314430,YES,1,recursive_merge_sort
std_thread,10000,1.087163,0.000000,0.000000,0.000000,1.087163,0,132877,122.223622,YES,8,max_depth=3
std_thread,100000,9.806684,0.000000,0.000000,0.000000,9.806684,0,1660964,169.370605,YES,8,max_depth=3
std_thread,1000000,72.003635,0.000000,0.000000,0.000000,72.003635,0,19931569,276.813372,YES,8,max_depth=3
OpenMP,10000,8.604217,0.000000,0.000000,0.000000,8.604217,0,132877,15.443241,YES,12,task_based_merge_sort_cutoff=4096
OpenMP,100000,16.026835,0.000000,0.000000,0.000000,16.026835,0,1660964,103.636432,YES,12,task_based_merge_sort_cutoff=4096
OpenMP,1000000,66.514089,0.000000,0.000000,0.000000,66.514089,0,19931569,299.659355,YES,12,task_based_merge_sort_cutoff=4096
CUDA,10000,134.732803,0.553984,134.732803,0.054912,135.341699,80000,132877,0.981789,YES,1,bottom_up_merge_sort_gpu=NVIDIA GeForce RTX 3050 Laptop GPU
CUDA,100000,46.958336,0.195168,46.958336,0.154720,47.308224,800000,1660964,35.109414,YES,1,bottom_up_merge_sort_gpu=NVIDIA GeForce RTX 3050 Laptop GPU
CUDA,1000000,481.210602,0.905984,481.210602,1.062112,483.178698,8000000,19931569,41.250927,YES,1,bottom_up_merge_sort_gpu=NVIDIA GeForce RTX 3050 Laptop GPU
