Algorithm,N,ExecutionTimeMs,H2DMs,KernelMs,D2HMs,TotalTimeMs,TransferredBytes,TotalOperations,AchievableMOPS,Correct,Workers,Notes,SequentialTotalMs,SpeedUp
Sequential,10000,2.357475,0.0,0.0,0.0,2.357475,0,132877,56.364118,YES,1,recursive_merge_sort,2.357475,1.0
Sequential,100000,32.265493,0.0,0.0,0.0,32.265493,0,1660964,51.478029,YES,1,recursive_merge_sort,32.265493,1.0
Sequential,1000000,307.294087,0.0,0.0,0.0,307.294087,0,19931569,64.861544,YES,1,recursive_merge_sort,307.294087,1.0
std_thread,10000,1.32517,0.0,0.0,0.0,1.32517,0,132877,100.271663,YES,8,max_depth=3,2.357475,1.7789981662730066
std_thread,100000,35.840184,0.0,0.0,0.0,35.840184,0,1660964,46.343624,YES,8,max_depth=3,32.265493,0.9002602497799677
std_thread,1000000,85.07257,0.0,0.0,0.0,85.07257,0,19931569,234.289019,YES,8,max_depth=3,307.294087,3.6121406347545393
OpenMP,10000,15.776522,0.0,0.0,0.0,15.776522,0,132877,8.422452,YES,12,task_based_merge_sort_cutoff=4096,2.357475,0.14942932288878372
OpenMP,100000,7.757378,0.0,0.0,0.0,7.757378,0,1660964,214.114099,YES,12,task_based_merge_sort_cutoff=4096,32.265493,4.159329737444791
OpenMP,1000000,74.369126,0.0,0.0,0.0,74.369126,0,19931569,268.008649,YES,12,task_based_merge_sort_cutoff=4096,307.294087,4.1320115419939185
CUDA,10000,6.140928,0.038912,6.140928,0.05328,6.23312,80000,132877,21.317896,YES,1,bottom_up_merge_sort_gpu=NVIDIA GeForce RTX 3050 Laptop GPU,2.357475,0.3782174897964422
CUDA,100000,55.464096,0.19296,55.464096,0.180896,55.837952,800000,1660964,29.746148,YES,1,bottom_up_merge_sort_gpu=NVIDIA GeForce RTX 3050 Laptop GPU,32.265493,0.5778416264264133
CUDA,1000000,480.192108,0.970432,480.192108,1.194176,482.356716,8000000,19931569,41.321222,YES,1,bottom_up_merge_sort_gpu=NVIDIA GeForce RTX 3050 Laptop GPU,307.294087,0.6370681215932318
